timestamp_ms,render_fps,capture_hz,capture_ms,upload_ms,draw_ms,queue_depth,dropped_frames,total_captured,snapshot_save_ms,recording_encode_ms,capture_timestamp_ms,render_timestamp_ms,pipeline_latency_ms
1390887008,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887008.000,19.000
1390887008,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887008.000,19.000
1390887009,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887008.000,19.000
1390887010,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887009.000,20.000
1390887010,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887010.000,21.000
1390887011,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887010.000,21.000
1390887012,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887011.000,22.000
1390887013,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887012.000,23.000
1390887013,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887013.000,24.000
1390887014,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887013.000,24.000
1390887015,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887014.000,25.000
1390887015,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887015.000,26.000
1390887016,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887015.000,26.000
1390887016,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887016.000,27.000
1390887017,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887016.000,27.000
1390887018,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887017.000,28.000
1390887018,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887018.000,29.000
1390887019,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887018.000,29.000
1390887020,1322.84,29.97,33.73,2.04,0.01,0.00,0,334,0.00,0.00,1390886989.000,1390887019.000,30.000
1390887025,1322.84,29.97,32.19,2.09,0.02,0.00,0,335,0.00,0.00,1390887022.000,1390887020.000,31.000
1390887025,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887025.000,3.000
1390887025,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887025.000,3.000
1390887026,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887025.000,3.000
1390887027,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887027.000,5.000
1390887027,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887027.000,5.000
1390887028,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887027.000,5.000
1390887029,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887028.000,6.000
1390887029,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887029.000,7.000
1390887030,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887029.000,7.000
1390887030,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887030.000,8.000
1390887031,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887030.000,8.000
1390887032,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887031.000,9.000
1390887032,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887032.000,10.000
1390887033,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887032.000,10.000
1390887033,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887033.000,11.000
1390887034,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887033.000,11.000
1390887035,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887034.000,12.000
1390887035,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887035.000,13.000
1390887036,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887035.000,13.000
1390887036,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887036.000,14.000
1390887039,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887036.000,14.000
1390887039,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887039.000,17.000
1390887039,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887039.000,17.000
1390887040,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887040.000,18.000
1390887041,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887040.000,18.000
1390887041,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887041.000,19.000
1390887042,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887041.000,19.000
1390887043,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887042.000,20.000
1390887043,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887043.000,21.000
1390887044,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887044.000,22.000
1390887045,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887044.000,22.000
1390887046,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887045.000,23.000
1390887046,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887046.000,24.000
1390887047,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887046.000,24.000
1390887048,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887047.000,25.000
1390887048,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887048.000,26.000
1390887049,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887048.000,26.000
1390887049,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887049.000,27.000
1390887050,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887049.000,27.000
1390887051,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887050.000,28.000
1390887051,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887051.000,29.000
1390887052,1322.84,29.97,32.19,2.09,0.01,0.00,0,335,0.00,0.00,1390887022.000,1390887051.000,29.000
