timestamp_ms,render_fps,capture_hz,capture_ms,upload_ms,draw_ms,queue_depth,dropped_frames,total_captured,snapshot_save_ms,recording_encode_ms,capture_timestamp_ms,render_timestamp_ms,pipeline_latency_ms
1390833740,94.72,29.99,32.98,4.36,0.01,0.00,0,366,0.00,0.00,1390833710.000,1390833737.000,27.000
1390833758,94.72,29.99,33.76,4.62,0.04,0.00,0,367,0.00,0.00,1390833745.000,1390833740.000,30.000
1390833758,94.72,29.99,33.76,4.62,0.02,0.00,0,367,0.00,0.00,1390833745.000,1390833758.000,13.000
1390833769,94.72,29.99,33.76,4.62,0.02,0.00,0,367,0.00,0.00,1390833745.000,1390833758.000,13.000
1390833791,94.72,29.99,30.72,4.86,0.05,0.00,0,368,0.00,0.00,1390833776.000,1390833770.000,25.000
1390833803,94.72,29.99,30.72,4.86,0.02,0.00,0,368,0.00,0.00,1390833776.000,1390833792.000,16.000
1390833825,94.72,29.99,35.59,4.83,0.08,0.00,0,369,0.00,0.00,1390833812.000,1390833803.000,27.000
1390833836,94.72,29.99,35.59,4.83,0.04,0.00,0,369,0.00,0.00,1390833812.000,1390833825.000,13.000
1390833840,94.72,29.99,35.59,4.83,0.02,0.00,0,369,0.00,0.00,1390833812.000,1390833837.000,25.000
1390833858,94.72,29.99,30.08,4.76,0.05,0.00,0,370,0.00,0.00,1390833842.000,1390833840.000,28.000
1390833858,94.72,29.99,30.08,4.76,0.02,0.00,0,370,0.00,0.00,1390833842.000,1390833858.000,16.000
1390833869,94.72,29.99,30.08,4.76,0.02,0.00,0,370,0.00,0.00,1390833842.000,1390833859.000,17.000
1390833892,94.72,29.99,31.76,5.04,0.04,0.00,0,371,0.00,0.00,1390833874.000,1390833869.000,27.000
1390833903,94.72,29.99,31.76,5.04,0.03,0.00,0,371,0.00,0.00,1390833874.000,1390833892.000,18.000
1390833925,94.72,29.99,36.32,5.37,0.05,0.00,0,372,0.00,0.00,1390833911.000,1390833903.000,29.000
1390833936,94.72,29.99,36.32,5.37,0.03,0.00,0,372,0.00,0.00,1390833911.000,1390833925.000,14.000
1390833959,94.72,29.99,33.52,5.12,0.03,0.00,0,373,0.00,0.00,1390833945.000,1390833936.000,25.000
1390833970,94.72,29.99,33.52,5.12,0.02,0.00,0,373,0.00,0.00,1390833945.000,1390833959.000,14.000
1390833992,94.72,29.99,31.88,5.57,0.04,0.00,0,374,0.00,0.00,1390833978.000,1390833970.000,25.000
1390834003,94.72,29.99,31.88,5.57,0.03,0.00,0,374,0.00,0.00,1390833978.000,1390833992.000,14.000
1390834006,94.72,29.99,31.88,5.57,0.02,0.00,0,374,0.00,0.00,1390833978.000,1390834003.000,25.000
1390834025,94.72,29.99,30.25,5.12,0.03,0.00,0,375,0.00,0.00,1390834009.000,1390834006.000,28.000
1390834025,94.72,29.99,30.25,5.12,0.02,0.00,0,375,0.00,0.00,1390834009.000,1390834025.000,16.000
1390834036,94.72,29.99,30.25,5.12,0.02,0.00,0,375,0.00,0.00,1390834009.000,1390834025.000,16.000
1390834059,94.72,29.99,31.44,5.26,0.09,0.00,0,376,0.00,0.00,1390834041.000,1390834036.000,27.000
1390834069,94.72,29.99,31.44,5.26,0.02,0.00,0,376,0.00,0.00,1390834041.000,1390834059.000,18.000
1390834092,94.72,29.99,31.27,4.97,0.05,0.00,0,377,0.00,0.00,1390834073.000,1390834069.000,28.000
1390834103,94.72,29.99,31.27,4.97,0.02,0.00,0,377,0.00,0.00,1390834073.000,1390834093.000,20.000
1390834125,94.72,29.99,40.27,5.28,0.04,0.00,0,378,0.00,0.00,1390834113.000,1390834103.000,30.000
1390834136,94.72,29.99,40.27,5.28,0.02,0.00,0,378,0.00,0.00,1390834113.000,1390834125.000,12.000
1390834159,94.72,29.99,31.41,5.27,0.06,0.00,0,379,0.00,0.00,1390834145.000,1390834136.000,23.000
1390834169,94.72,29.99,31.41,5.27,0.03,0.00,0,379,0.00,0.00,1390834145.000,1390834159.000,14.000
1390834192,94.72,29.99,31.21,5.28,0.04,0.00,0,380,0.00,0.00,1390834177.000,1390834170.000,25.000
1390834203,94.72,29.99,31.21,5.28,0.02,0.00,0,380,0.00,0.00,1390834177.000,1390834192.000,15.000
1390834226,94.72,29.99,33.74,5.75,0.04,0.00,0,381,0.00,0.00,1390834211.000,1390834203.000,26.000
1390834236,94.72,29.99,33.74,5.75,0.03,0.00,0,381,0.00,0.00,1390834211.000,1390834226.000,15.000
1390834258,94.72,29.99,32.77,4.31,0.02,0.00,0,382,0.00,0.00,1390834245.000,1390834236.000,25.000
1390834270,94.72,29.99,32.77,4.31,0.08,0.00,0,382,0.00,0.00,1390834245.000,1390834258.000,13.000
1390834273,94.72,29.99,32.77,4.31,0.06,0.00,0,382,0.00,0.00,1390834245.000,1390834270.000,25.000
1390834293,94.72,29.99,30.02,5.64,0.03,0.00,0,383,0.00,0.00,1390834275.000,1390834274.000,29.000
1390834294,94.72,29.99,30.02,5.64,0.02,0.00,0,383,0.00,0.00,1390834275.000,1390834293.000,18.000
1390834303,94.72,29.99,30.02,5.64,0.02,0.00,0,383,0.00,0.00,1390834275.000,1390834295.000,20.000
1390834326,94.72,29.99,34.09,5.33,0.04,0.00,0,384,0.00,0.00,1390834310.000,1390834303.000,28.000
1390834336,94.72,29.99,34.09,5.33,0.06,0.00,0,384,0.00,0.00,1390834310.000,1390834326.000,16.000
1390834339,94.72,29.99,34.09,5.33,0.02,0.00,0,384,0.00,0.00,1390834310.000,1390834337.000,27.000
1390834358,94.72,29.99,31.93,4.22,0.05,0.00,0,385,0.00,0.00,1390834342.000,1390834339.000,29.000
1390834359,94.72,29.99,31.93,4.22,0.02,0.00,0,385,0.00,0.00,1390834342.000,1390834358.000,16.000
1390834370,94.72,29.99,31.93,4.22,0.05,0.00,0,385,0.00,0.00,1390834342.000,1390834359.000,17.000
1390834376,94.72,29.99,29.54,2.89,0.06,0.00,0,386,0.00,0.00,1390834373.000,1390834370.000,28.000
1390834386,94.72,29.99,29.54,2.89,0.03,0.00,0,386,0.00,0.00,1390834373.000,1390834376.000,3.000
1390834406,94.72,29.99,27.15,3.00,0.06,0.00,0,387,0.00,0.00,1390834400.000,1390834386.000,13.000
1390834420,94.72,29.99,27.15,3.00,0.04,0.00,0,387,0.00,0.00,1390834400.000,1390834406.000,6.000
1390834423,94.72,29.99,27.15,3.00,0.02,0.00,0,387,0.00,0.00,1390834400.000,1390834420.000,20.000
1390834436,94.72,29.99,27.15,3.00,0.02,0.00,0,387,0.00,0.00,1390834400.000,1390834423.000,23.000
1390834459,94.72,29.99,38.79,5.27,0.05,0.00,0,388,0.00,0.00,1390834439.000,1390834436.000,36.000
1390834470,94.72,29.99,38.79,5.27,0.03,0.00,0,388,0.00,0.00,1390834439.000,1390834459.000,20.000
1390834492,94.72,29.99,33.54,5.04,0.04,0.00,0,389,0.00,0.00,1390834473.000,1390834470.000,31.000
1390834503,94.72,29.99,33.54,5.04,0.02,0.00,0,389,0.00,0.00,1390834473.000,1390834492.000,19.000
1390834526,94.72,29.99,33.71,5.11,0.05,0.00,0,390,0.00,0.00,1390834508.000,1390834503.000,30.000
1390834536,94.72,29.99,33.71,5.11,0.05,0.00,0,390,0.00,0.00,1390834508.000,1390834526.000,18.000
1390834539,94.72,29.99,33.71,5.11,0.02,0.00,0,390,0.00,0.00,1390834508.000,1390834536.000,28.000
1390834559,94.72,29.99,33.54,4.83,0.05,0.00,0,391,0.00,0.00,1390834542.000,1390834540.000,32.000
1390834559,94.72,29.99,33.54,4.83,0.02,0.00,0,391,0.00,0.00,1390834542.000,1390834559.000,17.000
1390834569,94.72,29.99,33.54,4.83,0.02,0.00,0,391,0.00,0.00,1390834542.000,1390834559.000,17.000
