timestamp_ms,render_fps,capture_hz,capture_ms,upload_ms,draw_ms,queue_depth,dropped_frames,total_captured,snapshot_save_ms,recording_encode_ms,capture_timestamp_ms,render_timestamp_ms,pipeline_latency_ms
1388244542,81.00,29.98,32.63,5.33,0.02,0.00,0,1396,0.00,0.00,1388244521.000,1388244540.000,19.000
1388244555,81.00,29.98,34.05,5.33,0.03,1.00,0,1397,0.00,0.00,1388244521.000,1388244542.000,21.000
1388244578,81.00,29.98,34.05,5.70,0.04,0.00,0,1397,0.00,0.00,1388244555.000,1388244555.000,34.000
1388244588,81.00,29.98,34.05,5.70,0.03,0.00,0,1397,0.00,0.00,1388244555.000,1388244578.000,23.000
1388244611,81.00,29.99,36.58,5.09,0.04,0.00,0,1398,0.00,0.00,1388244592.000,1388244589.000,34.000
1388244622,81.00,29.99,36.58,5.09,0.03,0.00,0,1398,0.00,0.00,1388244592.000,1388244611.000,19.000
1388244644,81.00,29.99,33.47,5.21,0.04,0.00,0,1399,0.00,0.00,1388244626.000,1388244622.000,30.000
1388244656,81.00,29.99,33.47,5.21,0.07,0.00,0,1399,0.00,0.00,1388244626.000,1388244644.000,18.000
1388244659,81.00,29.99,33.47,5.21,0.08,0.00,0,1399,0.00,0.00,1388244626.000,1388244656.000,30.000
1388244678,81.00,29.99,34.85,4.94,0.06,0.00,0,1400,0.00,0.00,1388244661.000,1388244659.000,33.000
1388244678,81.00,29.99,34.85,4.94,0.02,0.00,0,1400,0.00,0.00,1388244661.000,1388244678.000,17.000
1388244689,81.00,29.99,34.85,4.94,0.03,0.00,0,1400,0.00,0.00,1388244661.000,1388244678.000,17.000
1388244692,81.00,29.99,34.85,4.94,0.03,0.00,0,1400,0.00,0.00,1388244661.000,1388244689.000,28.000
1388244710,81.00,29.99,32.82,4.75,0.06,0.00,0,1401,0.00,0.00,1388244694.000,1388244693.000,32.000
1388244711,81.00,29.99,32.82,4.75,0.03,0.00,0,1401,0.00,0.00,1388244694.000,1388244710.000,16.000
1388244722,81.00,29.99,32.82,4.75,0.03,0.00,0,1401,0.00,0.00,1388244694.000,1388244711.000,17.000
1388244744,81.00,29.99,28.17,5.20,0.03,0.00,0,1402,0.00,0.00,1388244723.000,1388244722.000,28.000
1388244755,81.00,29.99,28.17,5.20,0.03,0.00,0,1402,0.00,0.00,1388244723.000,1388244744.000,21.000
1388244763,81.00,29.99,33.68,3.86,0.05,0.00,0,1403,0.00,0.00,1388244757.000,1388244755.000,32.000
1388244772,81.00,29.99,33.68,3.86,0.02,0.00,0,1403,0.00,0.00,1388244757.000,1388244763.000,6.000
1388244789,81.00,29.99,33.68,3.86,0.02,0.00,0,1403,0.00,0.00,1388244757.000,1388244772.000,15.000
1388244810,81.00,29.99,36.12,5.09,0.03,0.00,0,1404,0.00,0.00,1388244794.000,1388244789.000,32.000
1388244811,81.00,29.99,36.12,5.09,0.02,0.00,0,1404,0.00,0.00,1388244794.000,1388244810.000,16.000
1388244822,81.00,29.99,36.12,5.09,0.02,0.00,0,1404,0.00,0.00,1388244794.000,1388244811.000,17.000
1388244844,81.00,29.99,29.66,4.89,0.03,0.00,0,1405,0.00,0.00,1388244824.000,1388244822.000,28.000
1388244855,81.00,29.99,29.66,4.89,0.03,0.00,0,1405,0.00,0.00,1388244824.000,1388244844.000,20.000
1388244878,81.00,29.99,33.79,4.88,0.06,0.00,0,1406,0.00,0.00,1388244858.000,1388244855.000,31.000
1388244889,81.00,29.99,33.79,4.88,0.03,0.00,0,1406,0.00,0.00,1388244858.000,1388244878.000,20.000
1388244912,81.00,29.99,34.12,5.55,0.09,0.00,0,1407,0.00,0.00,1388244893.000,1388244889.000,31.000
1388244922,81.00,29.99,34.12,5.55,0.03,0.00,0,1407,0.00,0.00,1388244893.000,1388244912.000,19.000
1388244925,81.00,29.99,34.12,5.55,0.02,0.00,0,1407,0.00,0.00,1388244893.000,1388244922.000,29.000
1388244944,81.00,29.99,33.88,5.20,0.03,0.00,0,1408,0.00,0.00,1388244927.000,1388244925.000,32.000
1388244945,81.00,29.99,33.88,5.20,0.02,0.00,0,1408,0.00,0.00,1388244927.000,1388244944.000,17.000
1388244955,81.00,29.99,33.88,5.20,0.02,0.00,0,1408,0.00,0.00,1388244927.000,1388244945.000,18.000
1388244978,81.00,29.99,30.24,5.16,0.04,0.00,0,1409,0.00,0.00,1388244958.000,1388244955.000,28.000
1388244989,81.00,29.99,30.24,5.16,0.03,0.00,0,1409,0.00,0.00,1388244958.000,1388244978.000,20.000
1388245011,81.00,29.99,36.68,5.16,0.04,0.00,0,1410,0.00,0.00,1388244995.000,1388244989.000,31.000
1388245022,81.00,29.99,36.68,5.16,0.03,0.00,0,1410,0.00,0.00,1388244995.000,1388245011.000,16.000
1388245044,81.00,29.99,29.60,5.23,0.04,0.00,0,1411,0.00,0.00,1388245025.000,1388245022.000,27.000
1388245055,81.00,29.99,29.60,5.23,0.03,0.00,0,1411,0.00,0.00,1388245025.000,1388245044.000,19.000
1388245059,81.00,29.99,29.60,5.23,0.02,0.00,0,1411,0.00,0.00,1388245025.000,1388245055.000,30.000
1388245078,81.00,29.99,33.91,5.26,0.03,0.00,0,1412,0.00,0.00,1388245060.000,1388245059.000,34.000
1388245078,81.00,29.99,33.91,5.26,0.02,0.00,0,1412,0.00,0.00,1388245060.000,1388245078.000,18.000
1388245088,81.00,29.99,33.91,5.26,0.02,0.00,0,1412,0.00,0.00,1388245060.000,1388245078.000,18.000
1388245111,81.00,29.99,30.90,5.38,0.03,0.00,0,1413,0.00,0.00,1388245091.000,1388245089.000,29.000
1388245122,81.00,29.99,30.90,5.38,0.03,0.00,0,1413,0.00,0.00,1388245091.000,1388245111.000,20.000
1388245144,81.00,29.99,33.62,5.24,0.03,0.00,0,1414,0.00,0.00,1388245125.000,1388245122.000,31.000
1388245155,81.00,29.99,33.62,5.24,0.03,0.00,0,1414,0.00,0.00,1388245125.000,1388245144.000,19.000
1388245178,81.00,29.99,34.51,5.12,0.03,0.00,0,1415,0.00,0.00,1388245161.000,1388245155.000,30.000
1388245188,81.00,29.99,34.51,5.12,0.02,0.00,0,1415,0.00,0.00,1388245161.000,1388245178.000,17.000
1388245212,81.00,29.99,31.31,5.32,0.05,0.00,0,1416,0.00,0.00,1388245193.000,1388245189.000,28.000
1388245222,81.00,29.99,31.31,5.32,0.03,0.00,0,1416,0.00,0.00,1388245193.000,1388245212.000,19.000
1388245225,81.00,29.99,32.54,5.32,0.02,0.00,0,1416,0.00,0.00,1388245193.000,1388245222.000,29.000
1388245244,81.00,29.99,32.54,5.48,0.03,0.00,0,1417,0.00,0.00,1388245225.000,1388245226.000,33.000
1388245245,81.00,29.99,32.54,5.48,0.02,0.00,0,1417,0.00,0.00,1388245225.000,1388245244.000,19.000
1388245255,81.00,29.99,32.54,5.48,0.02,0.00,0,1417,0.00,0.00,1388245225.000,1388245245.000,20.000
1388245278,81.00,29.99,32.07,4.72,0.06,0.00,0,1418,0.00,0.00,1388245258.000,1388245255.000,30.000
1388245289,81.00,29.99,32.07,4.72,0.03,0.00,0,1418,0.00,0.00,1388245258.000,1388245278.000,20.000
1388245311,81.00,29.99,35.57,5.33,0.03,0.00,0,1419,0.00,0.00,1388245294.000,1388245289.000,31.000
1388245322,81.00,29.99,35.57,5.33,0.07,0.00,0,1419,0.00,0.00,1388245294.000,1388245311.000,17.000
1388245326,81.00,29.99,35.57,5.33,0.03,0.00,0,1419,0.00,0.00,1388245294.000,1388245323.000,29.000
1388245345,81.00,29.99,33.01,5.37,0.04,0.00,0,1420,0.00,0.00,1388245328.000,1388245326.000,32.000
1388245345,81.00,29.99,33.01,5.37,0.02,0.00,0,1420,0.00,0.00,1388245328.000,1388245345.000,17.000
1388245355,81.00,29.99,33.01,5.37,0.06,0.00,0,1420,0.00,0.00,1388245328.000,1388245345.000,17.000
1388245362,81.00,29.99,29.76,3.42,0.05,0.00,0,1421,0.00,0.00,1388245358.000,1388245356.000,28.000
1388245372,81.00,29.99,29.76,3.42,0.05,0.00,0,1421,0.00,0.00,1388245358.000,1388245363.000,5.000
1388245392,81.00,29.99,26.69,3.12,0.05,0.00,0,1422,0.00,0.00,1388245385.000,1388245372.000,14.000
1388245405,81.00,29.99,26.69,3.12,0.12,0.00,0,1422,0.00,0.00,1388245385.000,1388245392.000,7.000
1388245408,81.00,29.99,26.69,3.12,0.05,0.00,0,1422,0.00,0.00,1388245385.000,1388245406.000,21.000
1388245428,81.00,29.99,28.33,5.09,0.06,0.00,0,1423,0.00,0.00,1388245414.000,1388245408.000,23.000
1388245429,81.00,29.99,28.33,5.09,0.04,0.00,0,1423,0.00,0.00,1388245414.000,1388245428.000,14.000
1388245438,81.00,29.99,28.33,5.09,0.02,0.00,0,1423,0.00,0.00,1388245414.000,1388245429.000,15.000
1388245456,79.61,29.99,41.05,5.09,0.30,0.00,0,1423,0.00,0.00,1388245414.000,1388245439.000,25.000
1388245478,79.61,29.99,41.05,5.82,0.12,0.00,0,1424,0.00,0.00,1388245457.000,1388245456.000,42.000
1388245479,79.61,29.99,41.05,5.82,0.04,0.00,0,1424,0.00,0.00,1388245457.000,1388245479.000,22.000
1388245489,79.61,29.99,41.05,5.82,0.05,0.00,0,1424,0.00,0.00,1388245457.000,1388245479.000,22.000
1388245492,79.61,29.99,34.39,5.82,0.08,0.00,0,1424,0.00,0.00,1388245457.000,1388245489.000,32.000
1388245512,79.61,29.99,34.39,5.71,0.15,0.00,0,1425,0.00,0.00,1388245492.000,1388245492.000,35.000
1388245513,79.61,29.99,34.39,5.71,0.02,0.00,0,1425,0.00,0.00,1388245492.000,1388245512.000,20.000
1388245522,79.61,29.99,34.39,5.71,0.06,0.00,0,1425,0.00,0.00,1388245492.000,1388245513.000,21.000
1388245526,79.61,29.99,34.39,5.71,0.05,0.00,0,1425,0.00,0.00,1388245492.000,1388245522.000,30.000
1388245545,79.61,29.99,34.00,5.34,0.04,0.00,0,1426,0.00,0.00,1388245527.000,1388245526.000,34.000
1388245545,79.61,29.99,34.00,5.34,0.03,0.00,0,1426,0.00,0.00,1388245527.000,1388245545.000,18.000
1388245555,79.61,29.99,34.00,5.34,0.02,0.00,0,1426,0.00,0.00,1388245527.000,1388245545.000,18.000
1388245578,79.61,29.99,29.96,5.13,0.04,0.00,0,1427,0.00,0.00,1388245557.000,1388245555.000,28.000
1388245589,79.61,29.99,29.96,5.13,0.03,0.00,0,1427,0.00,0.00,1388245557.000,1388245578.000,21.000
1388245611,79.61,29.99,34.60,4.63,0.04,0.00,0,1428,0.00,0.00,1388245592.000,1388245589.000,32.000
1388245622,79.61,29.99,34.60,4.63,0.03,0.00,0,1428,0.00,0.00,1388245592.000,1388245611.000,19.000
1388245645,79.61,30.01,32.50,5.21,0.04,0.00,0,1429,0.00,0.00,1388245625.000,1388245622.000,30.000
1388245655,79.61,30.01,32.50,5.21,0.03,0.00,0,1429,0.00,0.00,1388245625.000,1388245645.000,20.000
1388245678,79.61,30.01,34.65,5.21,0.07,0.00,0,1430,0.00,0.00,1388245660.000,1388245655.000,30.000
1388245689,79.61,30.01,34.65,5.21,0.08,0.00,0,1430,0.00,0.00,1388245660.000,1388245678.000,18.000
1388245692,79.61,30.01,34.65,5.21,0.03,0.00,0,1430,0.00,0.00,1388245660.000,1388245689.000,29.000
1388245711,79.61,30.01,34.05,5.80,0.04,0.00,0,1431,0.00,0.00,1388245695.000,1388245692.000,32.000
1388245712,79.61,30.01,34.05,5.80,0.02,0.00,0,1431,0.00,0.00,1388245695.000,1388245712.000,17.000
1388245722,79.61,30.01,34.05,5.80,0.02,0.00,0,1431,0.00,0.00,1388245695.000,1388245712.000,17.000
1388245744,79.61,30.01,29.67,5.19,0.04,0.00,0,1432,0.00,0.00,1388245725.000,1388245722.000,27.000
1388245755,79.61,30.01,29.67,5.19,0.03,0.00,0,1432,0.00,0.00,1388245725.000,1388245744.000,19.000
1388245778,79.61,30.01,34.01,5.08,0.03,0.00,0,1433,0.00,0.00,1388245759.000,1388245755.000,30.000
1388245789,79.61,30.01,34.01,5.08,0.03,0.00,0,1433,0.00,0.00,1388245759.000,1388245778.000,19.000
1388245812,79.61,30.01,36.29,5.98,0.05,0.00,0,1434,0.00,0.00,1388245796.000,1388245789.000,30.000
1388245822,79.61,30.01,36.29,5.98,0.02,0.00,0,1434,0.00,0.00,1388245796.000,1388245812.000,16.000
1388245846,79.61,30.01,33.14,5.72,0.16,0.00,0,1435,0.00,0.00,1388245830.000,1388245822.000,26.000
1388245855,79.61,30.01,33.14,5.72,0.03,0.00,0,1435,0.00,0.00,1388245830.000,1388245846.000,16.000
1388245879,79.61,30.01,32.46,5.30,0.20,0.00,0,1436,0.00,0.00,1388245863.000,1388245855.000,25.000
1388245889,79.61,30.01,32.46,5.30,0.11,0.00,0,1436,0.00,0.00,1388245863.000,1388245879.000,16.000
1388245892,79.61,30.01,32.46,5.30,0.06,0.00,0,1436,0.00,0.00,1388245863.000,1388245889.000,26.000
1388245912,79.61,30.01,31.33,5.57,0.04,0.00,0,1437,0.00,0.00,1388245895.000,1388245892.000,29.000
1388245913,79.61,30.01,31.33,5.57,0.02,0.00,0,1437,0.00,0.00,1388245895.000,1388245912.000,17.000
1388245922,79.61,30.01,31.33,5.57,0.02,0.00,0,1437,0.00,0.00,1388245895.000,1388245913.000,18.000
1388245944,79.61,30.01,30.81,5.31,0.04,0.00,0,1438,0.00,0.00,1388245926.000,1388245922.000,27.000
1388245955,79.61,30.01,30.81,5.31,0.02,0.00,0,1438,0.00,0.00,1388245926.000,1388245944.000,18.000
1388245978,79.61,30.01,33.34,5.89,0.03,0.00,0,1439,0.00,0.00,1388245960.000,1388245955.000,29.000
1388245989,79.61,30.01,33.34,5.89,0.07,0.00,0,1439,0.00,0.00,1388245960.000,1388245978.000,18.000
1388245992,79.61,30.01,33.34,5.89,0.02,0.00,0,1439,0.00,0.00,1388245960.000,1388245989.000,29.000
1388246012,79.61,30.01,36.19,5.61,0.04,0.00,0,1440,0.00,0.00,1388245996.000,1388245992.000,32.000
1388246012,79.61,30.01,36.19,5.61,0.07,0.00,0,1440,0.00,0.00,1388245996.000,1388246012.000,16.000
1388246022,79.61,30.01,36.19,5.61,0.02,0.00,0,1440,0.00,0.00,1388245996.000,1388246012.000,16.000
1388246045,79.61,30.01,30.53,5.36,0.05,0.00,0,1441,0.00,0.00,1388246027.000,1388246022.000,26.000
