timestamp_ms,render_fps,capture_hz,capture_ms,upload_ms,draw_ms,queue_depth,dropped_frames,total_captured,snapshot_save_ms,recording_encode_ms,capture_timestamp_ms,render_timestamp_ms,pipeline_latency_ms
1388956408,29.15,29.93,26.05,2.56,0.06,0.00,7,3395,0.00,0.00,1388956404.000,1388956378.000,24.000
1388956439,29.15,29.93,26.05,2.56,0.13,0.00,7,3395,0.00,0.00,1388956404.000,1388956408.000,4.000
1388956483,29.15,29.93,33.09,7.85,0.13,1.00,7,3397,0.00,0.00,1388956448.000,1388956439.000,35.000
1388956517,29.15,29.93,33.58,7.51,0.16,1.00,7,3398,0.00,0.00,1388956482.000,1388956483.000,35.000
1388956548,29.15,29.93,29.68,5.73,0.10,1.00,7,3399,0.00,0.00,1388956517.000,1388956517.000,35.000
1388956582,29.15,29.93,29.68,5.89,0.04,0.00,7,3399,0.00,0.00,1388956547.000,1388956549.000,32.000
1388956617,29.15,29.93,35.31,6.00,0.03,0.00,7,3400,0.00,0.00,1388956583.000,1388956582.000,35.000
1388956651,29.15,29.93,29.36,5.77,0.08,1.00,7,3402,0.00,0.00,1388956620.000,1388956617.000,34.000
1388956686,29.15,29.93,33.33,6.42,0.06,1.00,7,3403,0.00,0.00,1388956650.000,1388956652.000,32.000
1388956722,29.15,29.93,33.33,7.18,0.04,0.00,7,3403,0.00,0.00,1388956684.000,1388956686.000,36.000
1388956755,29.15,29.93,29.81,6.50,0.16,1.00,7,3405,0.00,0.00,1388956723.000,1388956722.000,38.000
1388956790,29.15,29.93,34.04,7.16,0.15,1.00,7,3406,0.00,0.00,1388956754.000,1388956755.000,32.000
1388956825,29.15,29.93,32.63,7.34,0.22,1.00,7,3407,0.00,0.00,1388956789.000,1388956790.000,36.000
1388956859,29.15,29.93,31.39,7.25,0.22,1.00,7,3408,0.00,0.00,1388956822.000,1388956825.000,36.000
1388956894,29.15,29.93,35.05,8.04,0.21,1.00,7,3409,0.00,0.00,1388956855.000,1388956859.000,37.000
1388956928,29.15,30.17,32.19,7.66,0.13,1.00,7,3410,0.00,0.00,1388956891.000,1388956894.000,39.000
1388956961,29.15,30.17,32.30,6.61,0.15,1.00,7,3411,0.00,0.00,1388956924.000,1388956928.000,37.000
1388956995,29.15,30.17,28.40,7.50,0.13,0.00,8,3412,0.00,0.00,1388956986.000,1388956962.000,38.000
1388957022,29.15,30.17,33.13,7.50,0.18,1.00,8,3413,0.00,0.00,1388956986.000,1388956996.000,10.000
1388957063,29.15,30.17,31.55,6.90,0.16,0.00,9,3414,0.00,0.00,1388957055.000,1388957022.000,36.000
1388957091,29.15,30.17,31.55,6.90,0.15,0.00,9,3414,0.00,0.00,1388957055.000,1388957064.000,9.000
1388957133,29.15,30.17,34.88,7.77,0.16,1.00,9,3416,0.00,0.00,1388957093.000,1388957091.000,36.000
1388957169,29.15,30.17,32.80,8.13,0.14,1.00,9,3417,0.00,0.00,1388957129.000,1388957134.000,41.000
1388957201,29.15,30.17,32.08,6.94,0.15,1.00,9,3418,0.00,0.00,1388957162.000,1388957170.000,41.000
1388957236,29.15,30.17,32.49,7.01,0.15,1.00,9,3419,0.00,0.00,1388957196.000,1388957201.000,39.000
1388957270,29.15,30.17,31.40,7.08,0.15,1.00,9,3420,0.00,0.00,1388957229.000,1388957236.000,40.000
1388957304,29.17,30.17,32.21,6.35,0.23,0.00,10,3421,0.00,0.00,1388957296.000,1388957270.000,41.000
1388957340,29.17,30.17,32.24,6.26,0.15,0.00,10,3422,0.00,0.00,1388957329.000,1388957304.000,8.000
1388957373,29.17,30.17,28.12,6.32,0.23,0.00,10,3423,0.00,0.00,1388957358.000,1388957340.000,11.000
1388957405,29.17,30.17,24.71,5.84,0.14,1.00,10,3425,0.00,0.00,1388957378.000,1388957373.000,15.000
1388957440,29.17,30.17,24.71,6.23,0.15,0.00,10,3425,0.00,0.00,1388957404.000,1388957405.000,27.000
1388957475,29.17,30.17,44.37,6.62,0.15,0.00,10,3426,0.00,0.00,1388957449.000,1388957441.000,37.000
1388957511,29.17,30.17,31.55,7.66,0.20,0.00,10,3427,0.00,0.00,1388957481.000,1388957475.000,26.000
1388957545,29.17,30.17,34.61,7.15,0.08,0.00,10,3428,0.00,0.00,1388957519.000,1388957511.000,30.000
1388957579,29.17,30.17,30.70,5.62,0.06,0.00,10,3429,0.00,0.00,1388957550.000,1388957545.000,26.000
1388957611,29.17,30.17,36.06,5.62,0.12,0.00,10,3430,0.00,0.00,1388957587.000,1388957579.000,29.000
1388957645,29.17,30.17,31.25,5.12,0.05,0.00,10,3431,0.00,0.00,1388957618.000,1388957611.000,24.000
1388957681,29.17,30.17,33.26,6.41,0.19,0.00,10,3432,0.00,0.00,1388957652.000,1388957645.000,27.000
1388957715,29.17,30.17,35.89,6.32,0.20,0.00,10,3433,0.00,0.00,1388957689.000,1388957682.000,30.000
1388957750,29.17,30.17,29.96,7.66,0.20,0.00,10,3434,0.00,0.00,1388957719.000,1388957715.000,26.000
1388957784,29.17,30.17,37.10,6.82,0.28,0.00,10,3435,0.00,0.00,1388957758.000,1388957751.000,32.000
1388957818,29.17,30.17,34.68,6.27,0.07,0.00,10,3436,0.00,0.00,1388957793.000,1388957784.000,26.000
1388957853,29.17,30.17,32.94,5.84,0.03,0.00,10,3437,0.00,0.00,1388957827.000,1388957818.000,25.000
1388957886,29.17,30.17,32.51,5.97,0.17,0.00,10,3438,0.00,0.00,1388957860.000,1388957853.000,26.000
1388957920,29.17,30.17,34.29,6.47,0.17,0.00,10,3439,0.00,0.00,1388957895.000,1388957886.000,26.000
1388957954,29.17,29.88,32.08,6.78,0.15,0.00,10,3440,0.00,0.00,1388957928.000,1388957920.000,25.000
1388957990,29.17,29.88,32.71,6.85,0.21,0.00,10,3441,0.00,0.00,1388957961.000,1388957954.000,26.000
1388958024,29.17,29.88,31.83,6.59,0.23,0.00,10,3442,0.00,0.00,1388957993.000,1388957990.000,29.000
1388958057,29.17,29.88,34.14,6.96,0.19,0.00,10,3443,0.00,0.00,1388958028.000,1388958024.000,31.000
1388958092,29.17,29.88,32.58,7.59,0.04,0.00,10,3444,0.00,0.00,1388958061.000,1388958057.000,29.000
1388958126,29.17,29.88,28.40,7.06,0.06,1.00,10,3446,0.00,0.00,1388958094.000,1388958092.000,31.000
1388958159,29.17,29.88,31.30,5.86,0.06,1.00,10,3447,0.00,0.00,1388958123.000,1388958126.000,32.000
1388958193,29.17,29.88,25.18,5.56,0.03,0.00,11,3448,0.00,0.00,1388958182.000,1388958159.000,36.000
1388958229,29.17,29.88,35.79,7.40,0.02,0.00,11,3449,0.00,0.00,1388958219.000,1388958193.000,11.000
1388958262,29.17,29.88,34.96,6.48,0.06,0.00,11,3450,0.00,0.00,1388958254.000,1388958229.000,10.000
1388958296,29.17,29.88,33.12,6.08,0.13,0.00,11,3451,0.00,0.00,1388958288.000,1388958262.000,8.000
1388958330,29.22,29.88,33.29,6.81,0.20,0.00,11,3452,0.00,0.00,1388958322.000,1388958296.000,8.000
1388958366,29.22,29.88,32.34,6.55,0.12,0.00,11,3453,0.00,0.00,1388958356.000,1388958331.000,9.000
1388958398,29.22,29.88,22.19,5.82,0.15,0.00,11,3454,0.00,0.00,1388958378.000,1388958366.000,10.000
1388958433,29.22,29.88,24.72,5.86,0.13,0.00,11,3455,0.00,0.00,1388958405.000,1388958398.000,20.000
1388958468,29.22,29.88,43.03,6.00,0.19,0.00,11,3456,0.00,0.00,1388958448.000,1388958433.000,28.000
1388958502,29.22,29.88,33.67,6.01,0.16,0.00,11,3457,0.00,0.00,1388958483.000,1388958468.000,20.000
1388958536,29.22,29.88,30.49,6.49,0.16,0.00,11,3458,0.00,0.00,1388958515.000,1388958503.000,20.000
1388958571,29.22,29.88,37.42,7.21,0.15,0.00,11,3459,0.00,0.00,1388958553.000,1388958537.000,22.000
1388958606,29.22,29.88,35.28,7.22,0.20,0.00,11,3460,0.00,0.00,1388958589.000,1388958572.000,19.000
1388958642,29.22,29.88,33.87,7.27,0.20,0.00,11,3461,0.00,0.00,1388958624.000,1388958606.000,17.000
1388958675,29.22,29.88,28.18,6.30,0.26,0.00,11,3462,0.00,0.00,1388958653.000,1388958642.000,18.000
1388958707,29.22,29.88,35.74,6.16,0.15,0.00,11,3463,0.00,0.00,1388958691.000,1388958676.000,23.000
1388958744,29.22,29.88,34.01,8.10,0.23,0.00,11,3464,0.00,0.00,1388958726.000,1388958707.000,16.000
1388958776,29.22,29.88,35.34,6.74,0.16,0.00,11,3465,0.00,0.00,1388958762.000,1388958744.000,18.000
1388958811,29.22,29.88,32.64,6.88,0.15,0.00,11,3466,0.00,0.00,1388958796.000,1388958777.000,15.000
1388958848,29.22,29.88,32.89,7.91,0.20,0.00,11,3467,0.00,0.00,1388958829.000,1388958811.000,15.000
1388958880,29.22,29.88,32.54,6.38,0.25,0.00,11,3468,0.00,0.00,1388958863.000,1388958848.000,19.000
1388958912,29.22,29.88,32.14,6.28,0.24,0.00,11,3469,0.00,0.00,1388958896.000,1388958880.000,17.000
1388958950,29.22,29.95,32.67,8.11,0.16,0.00,11,3470,0.00,0.00,1388958929.000,1388958912.000,16.000
1388958983,29.22,29.95,32.30,8.26,0.19,0.00,11,3471,0.00,0.00,1388958963.000,1388958950.000,21.000
1388959016,29.22,29.95,32.65,7.52,0.20,0.00,11,3472,0.00,0.00,1388958996.000,1388958983.000,20.000
1388959051,29.22,29.95,33.36,6.53,0.23,0.00,11,3473,0.00,0.00,1388959030.000,1388959017.000,21.000
1388959085,29.22,29.95,31.31,6.69,0.22,0.00,11,3474,0.00,0.00,1388959062.000,1388959051.000,21.000
1388959120,29.22,29.95,31.87,7.86,0.28,0.00,11,3475,0.00,0.00,1388959095.000,1388959085.000,23.000
1388959152,29.22,29.95,31.74,6.30,0.09,0.00,11,3476,0.00,0.00,1388959128.000,1388959120.000,25.000
1388959187,29.22,29.95,32.42,6.44,0.04,0.00,11,3477,0.00,0.00,1388959161.000,1388959152.000,24.000
1388959220,29.22,29.95,33.06,6.07,0.11,0.00,11,3478,0.00,0.00,1388959195.000,1388959188.000,27.000
1388959256,29.22,29.95,32.58,6.64,0.24,0.00,11,3479,0.00,0.00,1388959228.000,1388959221.000,26.000
1388959291,29.22,29.95,30.82,7.34,0.17,0.00,11,3480,0.00,0.00,1388959260.000,1388959257.000,29.000
1388959325,29.22,29.95,31.19,6.81,0.20,0.00,11,3481,0.00,0.00,1388959292.000,1388959291.000,31.000
1388959360,29.13,29.95,28.03,6.81,0.17,1.00,11,3483,0.00,0.00,1388959329.000,1388959325.000,33.000
1388959392,29.13,29.95,17.23,5.29,0.15,0.00,12,3484,0.00,0.00,1388959377.000,1388959361.000,32.000
